College,Link,Undergrad Population,Grad Population,Mascot,In-State Tuition,Out-of-State Tuition,Percent Men,Percent Women,Online Classes,Room & Board,Total Student Body
Alabama A&M University,https://hbcuconnect.com/colleges/1/alabama-a-m-university,4496,831,Bulldog,$12588,$8320,48%,52%,yes,$6260,Coed
Alabama State University,https://hbcuconnect.com/colleges/2/alabama-state-university,4882,1101,Hornets,$7932,$14244,45%,55%,yes,$5366,Coed
Albany State University,https://hbcuconnect.com/colleges/3/albany-state-university,4166,249,Rams,$6140,$18646,38%,62%,yes,$6006,Coed
Alcorn State University,https://hbcuconnect.com/colleges/4/alcorn-state-university,2980,702,,$4848,$11952,42%,58%,no,$6174,Coed
Allen University,https://hbcuconnect.com/colleges/5/allen-university,848,49,Yellow Jackets,$10617,$10617,36%,64%,yes,$3947,Coed
American Baptist College,https://hbcuconnect.com/colleges/119/american-baptist-college,152,0,,$11894,$11894,67.1%,32.9%,no,$6440,
Arkansas Baptist College,https://hbcuconnect.com/colleges/6/arkansas-baptist-college,1119,0,Buffalo,$15171,$5074,63%,37%,no,$7834,Coed
Barber-Scotia College,https://hbcuconnect.com/colleges/7/barber-scotia-college,582,0,Saber-Tooth Tiger,$10686,$10686,66%,34%,no,$4452,Coed
Benedict College,https://hbcuconnect.com/colleges/8/benedict-college,3137,0,Tigers,$17190,$17190,49%,51%,no,$7906,Coed
Bennett College,https://hbcuconnect.com/colleges/9/bennett-college,780,0,Belles,$16794,$16794,0,100%,no,$7428,Female Only
Bethune Cookman University,https://hbcuconnect.com/colleges/10/bethune-cookman-university,3545,32,Wildcats,$13990,$13990,37%,63%,yes,$7980,Coed
Bishop State Community College,https://hbcuconnect.com/colleges/11/bishop-state-community-college,3598,0,Wildcats,$2700,$4830,35%,65%,yes,$0,Coed
Bluefield State College,https://hbcuconnect.com/colleges/12/bluefield-state-college,3094,0,Big Blue,$4908,$4830,40%,60%,yes,$0,Coed
Bowie State University,https://hbcuconnect.com/colleges/13/bowie-state-university,4401,1177,Bulldogs,$6347,$16888,41%,59%,yes,$8340,Coed
Central State University,https://hbcuconnect.com/colleges/14/central-state-university,2244,44,Marauders,$5672,$12648,54%,46%,no,$8484,Coed
Charles R. Drew University of Medicine and Science,https://hbcuconnect.com/colleges/16/charles-r-drew-university-of-medicine-and-science,655,30,Lions,$17440,$17440,42%,58%,no,$0,Coed
Cheyney University of Pennsylvania,https://hbcuconnect.com/colleges/15/cheyney-university-of-pennsylvania,1660,148,Wolves,$8404,$17942,46%,54%,yes,$8910,Coed
Chicago State University,https://hbcuconnect.com/colleges/17/chicago-state-university,2108,931,Cougars,$10163,$17123,69,31,yes,$12633,Coed
Claflin University,https://hbcuconnect.com/colleges/18/claflin-university,1832,70,Panthers and Lady Panthers,$12868,$12868,35%,65%,yes,$7078,Coed
Clark Atlanta University,https://hbcuconnect.com/colleges/19/clark-atlanta-university,3267,674,Panthers,$18911,$18911,24%,76%,no,$8529,Coed
Clinton College,https://hbcuconnect.com/colleges/20/clinton-college,200,0,Bears,$9920,$9920,71%,29%,no,$9551,Coed
Coahoma Community College,https://hbcuconnect.com/colleges/21/coahoma-community-college,2565,0,Tiger,$2100,$5000,32%,68%,yes,$3714,Coed
Concordia College Alabama,https://hbcuconnect.com/colleges/22/concordia-college-alabama,568,0,Hornets,$8090,$8090,52%,48%,yes,$4150,Coed
Coppin State University,https://hbcuconnect.com/colleges/23/coppin-state-university,1757,249,Eagles,$5491,$9982,23%,77%,yes,$8018,Coed
CUNY -The Medgar Evers College,https://hbcuconnect.com/colleges/24/cuny-the-medgar-evers-college,6921,0,Cougars,$5132,$13352,30%,70%,no,$0,Coed
Delaware State University,https://hbcuconnect.com/colleges/25/delaware-state-university,4872,0,Hornets,$6829,$10606,37%,63%,yes,$9714,Coed
Denmark Technical College,https://hbcuconnect.com/colleges/26/denmark-technical-college,1200,0,Panthers and Lady Panthers,$2590,$4870,49%,51%,yes,$3666,Coed
Dillard University,https://hbcuconnect.com/colleges/27/dillard-university,1187,0,Bleu Devil,$14250,$14250,28%,72%,no,$9478,Coed
Edward Waters University,https://hbcuconnect.com/colleges/28/edward-waters-university,769,0,Fighting Tigers,$10470,$10470,58%,42%,no,$6474,Coed
Elizabeth City State University,https://hbcuconnect.com/colleges/29/elizabeth-city-state-university,3240,67,Vikings,$3829,$13572,44%,56%,yes,$6283,Coed
Fayetteville State University,https://hbcuconnect.com/colleges/30/fayetteville-state-university,5103,678,Broncos,$2993,$12429,39%,61%,yes,$4793,Coed
Fisk University,https://hbcuconnect.com/colleges/31/fisk-university,850,23,Bulldogs,$19462,$19462,34%,66%,no,$9092,Coed
Florida A&M University,https://hbcuconnect.com/colleges/32/florida-a-m-university,11289,1995,Rattler,$4625,$16556,39%,61%,no,$7856,Coed
Florida Memorial University,https://hbcuconnect.com/colleges/33/florida-memorial-university,1771,448,Lions,$12576,$12576,38%,62%,no,$6734,Coed
Fort Valley State University,https://hbcuconnect.com/colleges/34/fort-valley-state-university,3566,217,Wildcats,$5562,$17176,41%,59%,yes,$6646,Coed
Gadsden State Community College,https://hbcuconnect.com/colleges/107/gadsden-state-community-college,7030,0,,$4350,$7560,39%,61%,no,$3200,Coed
Grambling State University,https://hbcuconnect.com/colleges/35/grambling-state-university,4409,588,Tigers,$4846,$12099,46%,54%,yes,$8109,Coed
Hampton University,https://hbcuconnect.com/colleges/36/hampton-university,4360,611,Pirate,$18798,$18798,37%,63%,yes,$8370,Coed
Harris-Stowe State University,https://hbcuconnect.com/colleges/37/harris-stowe-state-university,1500,0,Hornet,$4776,$9500,35%,65%,yes,$9360,Coed
Hinds Community College,https://hbcuconnect.com/colleges/38/hinds-community-college,15894,0,Eagle,$2060,$4660,46%,54%,yes,$3510,Coed
Howard University,https://hbcuconnect.com/colleges/39/howard-university,10491,1965,Bison,$20171,$20171,33%,67%,yes,$11601,Coed
Huston-Tillotson University,https://hbcuconnect.com/colleges/40/huston-tillotson-university,895,6,Rams,$12430,$12430,50%,50%,yes,$6946,Coed
Interdenominational Theological Center,https://hbcuconnect.com/colleges/41/interdenominational-theological-center,425,448,HBCU Connect,$11212,$7052,92%,8%,yes,$5465,Coed
J.F. Drake State Technical College,https://hbcuconnect.com/colleges/42/j-f-drake-state-technical-college,1258,0,,$2052,$2700,45%,55%,yes,$0,Coed
Jackson State University,https://hbcuconnect.com/colleges/43/jackson-state-university,7492,2319,Tigers,$7141,$17494,34.25,65.74,yes,$8708,Coed
Jarvis Christian College,https://hbcuconnect.com/colleges/44/jarvis-christian-college,654,0,Bulldogs,$13374,$13374,46%,54%,no,$9346,Coed
Johnson C. Smith University,https://hbcuconnect.com/colleges/45/johnson-c-smith-university,1624,0,The Golden Bull,$17368,$17368,45%,55%,no,$6762,Coed
Kentucky State University,https://hbcuconnect.com/colleges/46/kentucky-state-university,2606,245,Thorobreds,$6210,$14904,44%,56%,no,$6480,Coed
Knoxville College,https://hbcuconnect.com/colleges/47/knoxville-college,358,0,Bulldogs,$13770,$13770,17%,83%,no,$1845,Coed
Lane College,https://hbcuconnect.com/colleges/48/lane-college,2222,0,Dragons,$8220,$8220,52%,48%,no,$5800,Coed
Langston University,https://hbcuconnect.com/colleges/49/langston-university,1790,120,Lions,$7000,$14600,40%,60%,yes,$11100,Coed
Lawson State Community College,https://hbcuconnect.com/colleges/50/lawson-state-community-college,4867,0,Cougars,$4080,$7290,47%,53%,no,$4000,Coed
Lemoyne-Owen College,https://hbcuconnect.com/colleges/51/lemoyne-owen-college,987,0,Magicians,$10318,$10318,38%,62%,no,$4852,Coed
Lewis College of Business,https://hbcuconnect.com/colleges/52/lewis-college-of-business,0,0,,$0,$0,,,yes,$0,Coed
Lincoln University -Missouri,https://hbcuconnect.com/colleges/53/lincoln-university-missouri,3159,190,Blue Tigers,$6478,$11965,48%,52%,yes,$5271,Coed
Lincoln University -Pennsylvania,https://hbcuconnect.com/colleges/54/lincoln-university-pennsylvania,1809,552,Lions,$8984,$13222,42%,58%,yes,$8004,Coed
Livingstone College,https://hbcuconnect.com/colleges/55/livingstone-college,1150,8,Blue Bears,$15408,$15408,51%,49%,no,$6342,Coed
Meharry Medical College,https://hbcuconnect.com/colleges/57/meharry-medical-college,164,716,,$28089,$28089,18%,82%,no,$3831,Coed
Miles College,https://hbcuconnect.com/colleges/58/miles-college,4638,44,HBCU Connect,$9896,$5798,44%,56%,no,$6182,Coed
Mississippi Valley State University,https://hbcuconnect.com/colleges/59/mississippi-valley-state-university,2210,426,Devils,$4781,$11923,50%,50%,no,$5537,Coed
Morehouse College,https://hbcuconnect.com/colleges/60/morehouse-college,2689,0,Maroon Tigers,$23520,$23520,100%,0,no,$12184,Men Only
Morehouse School of Medicine,https://hbcuconnect.com/colleges/61/morehouse-school-of-medicine,344,329,HBCU Connect,$20966,$20966,50%,50%,no,$15000,Coed
Morgan State University,https://hbcuconnect.com/colleges/62/morgan-state-university,6622,1183,,$6727,$15870,45%,55%,no,$8380,Coed
Morris Brown College,https://hbcuconnect.com/colleges/63/morris-brown-college,300,0,,$7100,$7100,50%,50%,yes,$5262,Coed
Morris College,https://hbcuconnect.com/colleges/64/morris-college,1048,0,Hornets,$10566,$10566,46%,54%,no,$4696,Coed
Norfolk State University,https://hbcuconnect.com/colleges/65/norfolk-state-university,5112,489,Spartans,$9622,$21550,34.5%,65.5%,yes,$10844,Coed
North Carolina A&T State University,https://hbcuconnect.com/colleges/66/north-carolina-a-t-state-university,9151,1644,Aggies,$4668,$14302,48%,52%,yes,$7225,Coed
North Carolina Central University,https://hbcuconnect.com/colleges/67/north-carolina-central-university,8645,6520,Eagle,$7394,$12681,34%,66%,yes,$7196,Coed
Oakwood University,https://hbcuconnect.com/colleges/68/oakwood-university,1850,0,Ambassadors,$14966,$14966,42%,58%,no,$9510,Coed
Paine College,https://hbcuconnect.com/colleges/69/paine-college,925,0,Lion,$12502,$12502,36%,64%,yes,$6093,Coed
Paul Quinn College,https://hbcuconnect.com/colleges/70/paul-quinn-college,200,0,Tiger,$9300,$9300,40%,60%,no,$3250,Coed
Philander Smith College,https://hbcuconnect.com/colleges/71/philander-smith-college,732,0,Panthers,$11760,$11760,65%,35%,no,$7600,Coed
Prairie View A&M University,https://hbcuconnect.com/colleges/72/prairie-view-a-m-university,6973,1808,Panthers,$6856,$16156,40%,60%,yes,$7064,Coed
Rust College,https://hbcuconnect.com/colleges/73/rust-college,0,0,Bearcat,$16600,$16600,,,no,$0,Coed
Saint Augustine's University,https://hbcuconnect.com/colleges/74/saint-augustine-s-university,1508,0,Mighty Falcons,$17160,$17160,55%,45%,no,$7340,Coed
Savannah State University,https://hbcuconnect.com/colleges/76/savannah-state-university,3941,139,Tigers,$5624,$17238,47%,53%,no,$6288,Coed
Selma University,https://hbcuconnect.com/colleges/77/selma-university,127,28,,$5375,$3130,91%,9%,no,$4600,Coed
Shaw University,https://hbcuconnect.com/colleges/78/shaw-university,2550,172,BEARS,$13226,$13226,47%,53%,no,$7560,Coed
Shelton State Community College,https://hbcuconnect.com/colleges/79/shelton-state-community-college,5834,0,Buccaneer,$3270,$5970,47%,53%,yes,$0,Coed
Shorter College,https://hbcuconnect.com/colleges/80/shorter-college,120,200,Bulldogs,$2238,$2328,59%,61%,no,$1000,Coed
Simmons College of Kentucky,https://hbcuconnect.com/colleges/109/simmons-college-of-kentucky,300,100,Falcons,$2655,$2655,55%,45%,no,$0,Coed
South Carolina State University,https://hbcuconnect.com/colleges/81/south-carolina-state-university,3759,603,Bulldogs,$9258,$18170,50%,50%,yes,$9286,Coed
Southern University and A&M College,https://hbcuconnect.com/colleges/82/southern-university-and-a-m-college,6091,1215,Jaguars,$5074,$11612,43%,57%,no,$7007,Coed
Southern University at New Orleans,https://hbcuconnect.com/colleges/110/southern-university-at-new-orleans,2590,575,Knights,$3738,$1869,25%,75%,yes,$9470,Coed
Southern University at Shreveport,https://hbcuconnect.com/colleges/120/southern-university-at-shreveport,3018,0,Jaguars,$3987,$3987,29%,71%,no,$9788,Coed
Southwestern Christian College,https://hbcuconnect.com/colleges/83/southwestern-christian-college,224,0,Rams,$6910,$6910,54%,46%,no,$4688,Coed
Spelman College,https://hbcuconnect.com/colleges/84/spelman-college,2177,0,Jaguars,$22010,$10660,0,100%,no,$10464,Female Only
St. Philips College,https://hbcuconnect.com/colleges/106/st-philips-college,10634,0,Tigers,$2280,$4560,,,no,$0,
Stillman College,https://hbcuconnect.com/colleges/85/stillman-college,1075,0,Tigers,$15088,$15088,45%,55%,yes,$6785,Coed
Talladega College,https://hbcuconnect.com/colleges/86/talladega-college,698,0,Tornadoes,$11111,$11111,48%,52%,no,$5885,Coed
Tennessee State University,https://hbcuconnect.com/colleges/87/tennessee-state-university,6857,2073,Tigers,$6346,$19498,38%,62%,yes,$5910,Coed
Texas College,https://hbcuconnect.com/colleges/88/texas-college,891,36,Steers and Lady Steers,$9682,$9682,62%,38%,no,$7000,Coed
Texas Southern University,https://hbcuconnect.com/colleges/89/texas-southern-university,6964,2593,Tigers or Lady Tigers,$7462,$16762,43%,57%,no,$4500,Coed
Tougaloo College,https://hbcuconnect.com/colleges/90/tougaloo-college,918,0,Bulldog,$10210,$10210,37%,63%,yes,$6572,Coed
Trenholm State Community College,https://hbcuconnect.com/colleges/91/trenholm-state-community-college,1334,0,HBCU Connect,$2496,$3720,50%,50%,no,$0,Coed
Tuskegee University,https://hbcuconnect.com/colleges/92/tuskegee-university,2479,467,Golden Tigers,$17720,$17720,43%,57%,no,$7950,Coed
University of Arkansas at Pine Bluff,https://hbcuconnect.com/colleges/93/university-of-arkansas-at-pine-bluff,3283,145,Golden Lions,$5330,$10595,50%,50%,no,$6710,Coed
University of Maryland Eastern Shore,https://hbcuconnect.com/colleges/94/university-of-maryland-eastern-shore,3967,573,,$6482,$14263,40%,60%,no,$7758,Coed
University of the District of Columbia,https://hbcuconnect.com/colleges/96/university-of-the-district-of-columbia,5311,207,Firebirds,$4318,$8590,39%,61%,no,$0,Coed
University of the Virgin Islands,https://hbcuconnect.com/colleges/97/university-of-the-virgin-islands,2520,213,,$4594,$12574,32%,68%,yes,$9386,Coed
Virginia State University,https://hbcuconnect.com/colleges/98/virginia-state-university,5075,559,,$6570,$15136,38%,62%,yes,$8152,Coed
Virginia Union University,https://hbcuconnect.com/colleges/99/virginia-union-university,1303,25,Panther,$14630,$14630,44%,56%,no,$7174,Coed
Virginia University of Lynchburg,https://hbcuconnect.com/colleges/108/virginia-university-of-lynchburg,85,120,Dragons,$8200,$0,,,yes,$4200,Coed
Voorhees College,https://hbcuconnect.com/colleges/100/voorhees-college,876,0,Tigers,$10780,$10780,47%,53%,no,$7246,Coed
West Virginia State University,https://hbcuconnect.com/colleges/101/west-virginia-state-university,4823,0,Yellow Jackets,$4664,$5892,52%,48%,yes,$6225,Coed
Wilberforce University,https://hbcuconnect.com/colleges/102/wilberforce-university,1180,0,Bulldogs,$12470,$12470,43%,57%,no,$5700,Coed
Wiley College,https://hbcuconnect.com/colleges/103/wiley-college,1302,0,Wiley the Wildcat,$16652,$16652,41%,58%,no,$7500,Coed
Winston-Salem State University,https://hbcuconnect.com/colleges/104/winston-salem-state-university,5975,467,Ram,$4513,$13626,66%,94%,no,$6976,Coed
Xavier University of Louisiana,https://hbcuconnect.com/colleges/105/xavier-university-of-louisiana,2708,683,Gold Rush/Golden Nuggets,$17900,$17900,29%,71%,yes,$7400,Coed
