id,name,album,release_date,track_number,attribute names,attribute values,uri
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,acousticness,0.00942,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,danceability,0.757,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,liveness,0.367,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,instrumentalness,3.66E-05,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,energy,0.61,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,duration_ms,212600,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,popularity,71,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,speechiness,0.0327,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,tempo,116.998,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,loudness,-4.84,spotify:track:4WUepByoeqcedHoYhSNHRt
4WUepByoeqcedHoYhSNHRt,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,valence,0.685,spotify:track:4WUepByoeqcedHoYhSNHRt
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,acousticness,0.0885,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,danceability,0.733,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,liveness,0.168,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,instrumentalness,0,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,energy,0.733,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,duration_ms,231833,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,popularity,72,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,speechiness,0.067,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,tempo,96.057,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,loudness,-5.376,spotify:track:0108kcWLnn2HlH2kedi1gn
0108kcWLnn2HlH2kedi1gn,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,valence,0.701,spotify:track:0108kcWLnn2HlH2kedi1gn
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,acousticness,0.000421,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,danceability,0.511,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,liveness,0.0899,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,instrumentalness,0.0197,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,energy,0.822,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,duration_ms,231000,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,popularity,74,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,speechiness,0.0397,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3Vpk1hfMAQme8VJ0SNRSkd,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,tempo,94.868,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
