EmployeeID,Age,Gender,Department,Position,AnnualSalary,JobSatisfaction,EngagementScore,PerformanceRating,AbsenteeismRate,PromotionInLastYear,ParticipationInTrainingSessions,Tenure
EID0001,56,Male,Finance,Team Leader,143244.19,4,0.96,3,11.66,1,6,18
EID0002,46,Female,Marketing,Senior Analyst,145216.27,2,0.38,5,19.2,1,0,7
EID0003,32,Male,Sales,Analyst,92575.16,1,0.34,2,13.21,1,2,6
EID0004,60,Other,Finance,Clerk,147276.95,2,0.06,3,10.45,0,7,32
EID0005,25,Male,HR,Team Leader,120877.22,5,0.49,2,0.47,0,8,3
EID0006,38,Male,Finance,Team Leader,49400.57,2,0.11,2,8.27,1,6,4
EID0007,56,Male,IT,Analyst,87228.01,4,0.25,3,5.98,0,6,24
EID0008,36,Male,Sales,Manager,116199.74,1,0.32,1,14.96,1,7,3
EID0009,40,Other,HR,Clerk,59680.84,4,0.81,3,4.17,0,5,16
EID0010,28,Other,Marketing,Team Leader,106873.82,1,0.88,1,4.1,1,2,7
EID0011,28,Female,Operations,Clerk,109992.06,5,0.3,5,3.79,1,0,4
EID0012,41,Other,HR,Team Leader,49523.97,1,0.86,5,2.51,0,6,1
EID0013,53,Other,Marketing,Clerk,97810.24,1,0.86,3,6.22,0,0,30
EID0014,57,Female,Operations,Senior Analyst,122595.23,1,0.76,5,17.72,0,0,32
EID0015,41,Other,Operations,Team Leader,89867.48,2,0.15,4,15.5,0,8,11
EID0016,20,Male,HR,Clerk,31452.37,2,0.69,2,14.71,1,9,2
EID0017,39,Male,Finance,Manager,31084.62,5,0.95,2,15.95,1,6,16
EID0018,19,Female,Finance,Senior Analyst,72843.52,1,0.68,1,5.39,0,3,1
EID0019,41,Female,Operations,Senior Analyst,141143.29,3,0.33,5,17.75,0,5,23
EID0020,61,Female,Finance,Manager,57441.21,5,0.5,1,2.75,1,0,23
EID0021,47,Male,IT,Clerk,106123.64,1,0.65,2,6.73,0,6,25
EID0022,55,Other,Operations,Analyst,56649.1,1,0.51,2,11.73,0,5,10
EID0023,19,Male,Operations,Manager,68600.4,2,0.12,5,2.06,0,3,0
EID0024,38,Female,Marketing,Clerk,131765.05,5,0.31,4,14.6,0,6,7
EID0025,50,Other,Finance,Manager,117463.37,1,0.8,4,7.74,1,2,9
EID0026,29,Other,Operations,Manager,41447.91,1,0.86,5,15.69,1,0,7
EID0027,39,Male,IT,Team Leader,81444.24,5,0.14,5,9.86,0,3,19
EID0028,61,Female,Marketing,Clerk,33500.37,3,0.95,1,3.62,1,2,7
EID0029,42,Male,HR,Analyst,87706.82,5,0.33,5,14.7,0,0,8
EID0030,44,Other,Operations,Team Leader,109492.08,5,0.66,4,5.04,0,1,6
EID0031,59,Male,IT,Manager,44220.31,3,0.75,5,9.82,0,4,13
EID0032,45,Male,Sales,Manager,64666.19,5,0.81,1,1.51,1,7,27
EID0033,33,Female,IT,Manager,77740.4,1,0.95,1,12.36,1,0,1
EID0034,32,Female,IT,Clerk,140343.72,5,0.31,1,13.32,1,3,8
EID0035,64,Other,Marketing,Clerk,149190.6,3,0.86,1,7.57,1,3,42
EID0036,61,Male,HR,Team Leader,35389.36,4,0.13,3,19.09,1,4,7
EID0037,20,Male,Sales,Analyst,121320.95,5,0.71,5,17.48,0,6,0
EID0038,54,Male,Finance,Team Leader,74606.89,2,0.74,2,14.16,0,7,20
EID0039,24,Other,Finance,Senior Analyst,77094.98,1,0.68,5,14.27,1,5,6
EID0040,38,Other,IT,Manager,120511.8,1,0.25,3,5.05,1,0,2
EID0041,26,Female,Marketing,Manager,140211.17,2,0.87,1,13.14,1,6,6
EID0042,56,Female,Marketing,Manager,144111.43,2,0.17,3,3.96,0,2,14
EID0043,35,Female,Finance,Team Leader,99254.71,5,0.05,4,2.88,1,5,1
EID0044,21,Male,Sales,Team Leader,72854.54,2,0.72,4,19.99,0,7,0
EID0045,42,Male,HR,Manager,124505.89,4,0.48,5,12.45,0,6,18
EID0046,31,Female,Sales,Team Leader,60120.17,3,0.85,5,8.62,1,9,11
EID0047,26,Male,Operations,Clerk,97688.88,2,0.38,2,5.76,0,5,8
EID0048,43,Female,Operations,Clerk,73029.42,2,0.17,2,12.08,0,8,19
EID0049,19,Other,HR,Team Leader,108795.73,4,0.84,4,0.99,1,8,1
EID0050,37,Female,Finance,Manager,58847.87,1,0.55,1,1.89,0,0,2
EID0051,45,Other,HR,Team Leader,52991.15,1,0.19,3,0.66,1,0,4
