Rating,Name,Street,City,State,Zip Code,Full Address,Latitude,Longitude,Telephone,img_lnk,Description,Tags_Concatenated,Price Range,Editor's Pick
4.5,Sab Lai Thai Kitchen,500 Fifth Ave,San Diego,CA,92101,"500 Fifth Ave San Diego,CA 92101",32.7106,-117.16041,(619) 232-1801,https://tableagent.s3.amazonaws.com/media/xr/8472_a1083ba3a9e94e3fa336abf0de25160c.jpeg,"Specializing in fresh, quality authentic Thai, vegan, vegetarian, gluten-free dishes served in an airy, brick-lined space with contemporary decor. Voted Best Thai Food Gaslamp San Diego.",$;Recommended;New;Editor's Pick,$,Yes
4.5,Royal India,329 Market St,San Diego,CA,92101,"329 Market St San Diego,CA 92101",32.7112494,-117.1613945,(619) 269-9999,https://tableagent.s3.amazonaws.com/media/xr/1501_3283.jpg,"Royal India is where to go when you want to dine like kings and queens. The Gaslamp area restaurant serves authentic Northern Indian cuisine in a refreshing, elegant setting. An outdoor patio offers prime views of downtown foot traffic, while inside, the tall ceilings and open space give the feel of a modern palace, complete with regal décor imported from India. Ornate chandeliers cast an elegant glow, while a cascading waterfall offers a backdrop of serenity. The menu is as rich as its surroundings, with flavorful curries, tandoori kababs, and a tempting array of fresh tandoor-baked breads. If you’re unable …",$$;Top 10;Recommended;Editor's Pick;Special Offer;Private Room;Gift Certificates,$$,Yes
4.5,Donovan's of Downtown,570 K Street,San Diego,CA,92101,"570 K Street San Diego,CA 92101",32.708646,-117.159425,(619) 237-9700,https://tableagent.s3.amazonaws.com/media/xr/1371_1568.jpg,"Following the success of its flagship La Jolla location, Donovan’s has opened a new outpost downtown. Now the renowned service, quality, and setting that put Donovan’s of La Jolla on the map can be found just steps away from the convention center, the ballpark, and the Gaslamp Quarter. As with its La Jolla counterpart, the menu showcases a variety of cuts of succulent USDA Prime steak, while offering an array of other options such as Australian rack of lamb and North Atlantic Salmon. Appetizers and salads are available to tantalize the palate before the main course, and potatoes and vegetables …",$$$;Top 10;Recommended;New;Editor's Pick;Special Offer;Private Room;Gift Certificates,$$$,Yes
3,Yard House,1023 4th Avenue,San Diego,CA,92101,"1023 4th Avenue San Diego,CA 92101",32.7159178,-117.1608036,(619) 233-9273,https://tableagent.s3.amazonaws.com/media/xr/296_5128.jpg,"Where else can you get good music, over 250 beers on tap, and excellent food? Though named for its yard-tall beer glasses, the Yard House offers more than just a pub experience. Among the traditional burger fare appear elegant dishes that rival less casual, fine dining establishments. A sizable wine list holds its own alongside the beer and spirits. The Yard House is an equally ideal gathering place for happy hour, a business lunch, or a large dinner party because everyone, from the burger-lover to the gourmet connoisseur, is likely to find something that pleases their palate.",$$;Recommended;Editor's Pick;Special Offer,$$,Yes
2,Rei do Gado,939 4th Avenue,San Diego,CA,92101,"939 4th Avenue San Diego,CA 92101",32.7152123,-117.1609227,(619) 702-8464,https://tableagent.s3.amazonaws.com/media/xr/706_4610.jpg,"Rei Do Gado isn’t your typical buffet—it’s an experience. This traditional Brazilian steakhouse and restaurant boasts 40 different menu options, including slow roasted cooked meats, salads, and side additions. Rei Do Gado is more specifically known for their meats, and each table is assigned a passador, or “meat waiter,” who slices the meat directly off of the skewer and on to your plate. Located in San Diego’s Gaslamp Quarter, this unconventional buffet is an upscale eatery with traditional options that are equally as savory.",$$,$$,No
3.5,BiCE Ristorante,425 Island Avenue,San Diego,CA,92101,"425 Island Avenue San Diego,CA 92101",32.7102018,-117.1608597,(619) 239-2423,https://tableagent.s3.amazonaws.com/media/xr/3308_8154.jpg,"BiCE Ristorante skillfully fuses the elegance and trend-setting gusto of modern Europe in the historic San Diego Gaslamp Quarter, while introducing patrons to contemporary Italian cuisine melded with California ingredients. Executive Chef Mario Cassineri has created a menu that entices palates with amazing flavor combinations as his attention to detail and presentation mesmerize guests. Start off the night with the Prosciutto con Burrata, 24-month aged prosciutto paired with creamy burrata cheese that will surely tantalize taste buds with its perfected meat-and-cheese combination. Indulge in the Orzotto all’Aragosta e Burratina: “risotto style” barley with Maine Lobster, fresh tomato and burrata cheese, …",$$$;Recommended;Special Offer,$$$,No
2.5,Maloney's Tavern,777 5th Avenue,San Diego,CA,92101,"777 5th Avenue San Diego,CA 92101",32.7134012,-117.1600399,(619) 232-6000,https://tableagent.s3.amazonaws.com/media/xr/709_4714.jpg,"Located on 5th Avenue in Downtown San Diego and open since 1991, Maloney’s Tavern is a great place to sit with a group of friends and kick back with a beer. The Tavern’s catch phrase, like the show Cheers, is ‘where everybody knows your name’. Their menu is simple American /goes well with your drink comfort food. They have a full bar and an outdoor patio. Maloney’s offers good food at reasonable prices and provides a friendly relaxing atmosphere. This Tavern also hosts revolving drink specials on Fridays and Saturdays, Weekend football specials, a Happy hour from 4-7pm, and a …",$$,$$,No
3,Oceanaire,400 J Street,San Diego,CA,92101,"400 J Street San Diego,CA 92101",32.7096502,-117.1608726,(619) 858-2277,,"Nestled in the heart of the exciting Gaslamp District, and just minutes away from the San Diego Convention Center, is The Oceanaire Seafood Room – a stylish and upscale seafood restaurant famed for its oyster bar and fresh fish flown in daily. Its menu offers a daily changing selection of snapper, swordfish and rare seasonal items like Alaska Weathervane Scallops, in addition to chops, steaks and poultry. Its sophisticated décor, large open dining room and award-winning service only add to its appeal, making it the ideal setting for special occasions, date night and corporate functions. Visit the bar area during …",$$,$$,No
3,Asti Ristorante,728 5th Avenue,San Diego,CA,92101,"728 5th Avenue San Diego,CA 92101",32.7129955,-117.1604245,(619) 232-8844,https://tableagent.s3.amazonaws.com/media/xr/7_9444.jpg,"Amidst a sea of Italian restaurants, Asti Ristorante in San Diego’s Gaslamp District is one that should not be overlooked. Specializing in Northern Italian cuisine, Asti does not disappoint. Whether you stop in for lunch or for dinner, Asti’s extensive selection of hand-made pastas, fresh seafood or traditional chicken, beef or veal entrees are sure to please even the pickiest diners. The restaurant offers outdoor seating overlooking the Gaslamp’s bustling 5th Avenue, as well as indoor dining in the restaurant’s meticulously decorated dining room. Asti Ristorante is one of the few restaurants in downtown San Diego that can please both …",$$$;Special Offer,$$$,No
3,Cremolose,840 5th Avenue,San Diego,CA,92101,"840 5th Avenue San Diego,CA 92101",32.7142074,-117.160436,(619) 233-9900,https://tableagent.s3.amazonaws.com/media/xr/3296_8021.jpg,"Located in the Gaslamp District, Cremolose is the newest European cafe and specialty dessert restaurant offering exquisite Italian fare and delectable Italian desserts to hungry guests. The 5,000 square-foot establishment fuses the aspects of a European cafe and the historic flavor of the Gaslamp Quarter. Cremolose offers seating for up to 260 guests beneath the tin decal decor in the original 20th century dancehall. The dining room is decorated with furniture which provides a modern aesthetic and showcases a eclectic color palette capable of awaking a tired soul. Cremolose showcases a fully equipped bar and lounge where bartenders offer handcrafted …",$$;New;Special Offer,$$,No
