SIGHTING_COUNT,SIGHTING_DATE,SIGHTING_LATITUDE,SIGHTING_LONGITUDE
1,01/10/2018,59.41,-61.2333
1,01/10/2018,59.5733,-60.94
1,01/10/2018,58.9533,-61.4267
1,02/10/2018,57.21,-59.7533
1,02/10/2018,58.0217,-60.385
1,02/10/2018,57.8817,-60.2883
1,02/10/2018,56.0133,-58.785
1,02/10/2018,56.645,-60.05
1,02/10/2018,55.29,-58.575
1,02/10/2018,57.18,-59.775
1,02/10/2018,59.1083,-61.3617
1,02/10/2018,57.955,-60.4467
1,02/10/2018,59.255,-60.9183
1,04/10/2018,59.5117,-63.4167
1,04/10/2018,59.3233,-61.5367
1,05/10/2018,59.3267,-62.36
1,05/10/2018,60.455,-63.6683
1,05/10/2018,59.14,-61.5217
1,05/10/2018,59.54,-63.5383
1,05/10/2018,59.2933,-63.06
1,05/10/2018,59.825,-61.65
1,05/10/2018,60.765,-62.9617
1,05/10/2018,60.9867,-62.7517
1,05/10/2018,59.4283,-60.59
1,05/10/2018,59.505,-61.7633
1,05/10/2018,60.015,-60.9417
1,05/10/2018,59.7017,-63.6583
1,08/10/2018,55.685,-59.4867
1,08/10/2018,56.49,-59.865
1,08/10/2018,56.7933,-59.7417
1,08/10/2018,58.9767,-61.25
1,08/10/2018,58.7317,-61.3883
1,08/10/2018,58.475,-61.9283
1,08/10/2018,56.7933,-59.7417
1,08/10/2018,59.2133,-61.6583
1,09/10/2018,54.995,-54.4217
1,09/10/2018,56.675,-59.605
1,09/10/2018,56.575,-58.0167
1,09/10/2018,55.5783,-56.54
1,11/10/2018,60.2717,-63.0083
1,11/10/2018,59.1633,-62.855
1,11/10/2018,61.135,-63.5733
1,11/10/2018,57.065,-60.11
1,12/10/2018,58.87,-61.8733
1,12/10/2018,58.5083,-61.125
1,12/10/2018,59.1783,-62.67
1,12/10/2018,59.6333,-60.9567
1,12/10/2018,58.1517,-61.105
1,12/10/2018,60.1067,-63.195
1,12/10/2018,58.9683,-62.3517
1,12/10/2018,61.065,-63.22
1,12/10/2018,61.0383,-62.8333
1,12/10/2018,61.1033,-62.835
1,12/10/2018,58.8417,-60.2133
1,12/10/2018,56.0367,-57.855
1,12/10/2018,54.68,-54.5983
1,12/10/2018,55.8917,-57.8783
1,12/10/2018,59.1867,-62.6667
